United Kingdom,0.286699547,fever
United Kingdom,0.249820152,dry cough
United Kingdom,0.057634432,tiredness or fatigue
United Kingdom,0.019944226,aches and muscles
United Kingdom,0.078068857,sore throat
United Kingdom,0.030178438,diarrhoea
United Kingdom,0.006866945,conjunctivitis
United Kingdom,0.043795629,headache
United Kingdom,0.00000563,loss of taste or smell
United Kingdom,0.032280861,a rash on skin or discolouration of fingers or toes
United Kingdom,0.005576875,difficulty breathing or shortness of breath
United Kingdom,0.177045699,chest pain or pressure
United Kingdom,0.012082712,loss of speech or movement
India,0.318883985,fever
India,0.273230401,dry cough
India,0.03262238,tiredness or fatigue
India,0.01346499,aches and muscles
India,0.059181715,sore throat
India,0.025920971,diarrhoea
India,0.001471321,conjunctivitis
India,0.033317582,headache
India,0.0,loss of taste or smell
India,0.008115454,a rash on skin or discolouration of fingers or toes
India,0.005779804,difficulty breathing or shortness of breath
India,0.139393425,chest pain or pressure
India,0.011694895,loss of speech or movement
Ecuador,0.29336701,fever
Ecuador,0.156120106,dry cough
Ecuador,0.031639201,tiredness or fatigue
Ecuador,0.027178292,aches and muscles
Ecuador,0.013332434,sore throat
Ecuador,0.006217994,diarrhoea
Ecuador,0.0,conjunctivitis
Ecuador,0.053739031,headache
Ecuador,0.0,loss of taste or smell
Ecuador,0.018220625,a rash on skin or discolouration of fingers or toes
Ecuador,0.007223244,difficulty breathing or shortness of breath
Ecuador,0.220672201,chest pain or pressure
Ecuador,0.018443708,loss of speech or movement
Chile,0.33462167,fever
Chile,0.131735186,dry cough
Chile,0.100463276,tiredness or fatigue
Chile,0.095351045,aches and muscles
Chile,0.002750645,sore throat
Chile,0.0,diarrhoea
Chile,0.000989928,conjunctivitis
Chile,0.045679603,headache
Chile,0.0,loss of taste or smell
Chile,0.002033407,a rash on skin or discolouration of fingers or toes
Chile,0.00045641,difficulty breathing or shortness of breath
Chile,0.12455026,chest pain or pressure
Chile,0.007522415,loss of speech or movement
Brazil,0.292291922,fever
Brazil,0.238678421,dry cough
Brazil,0.028532504,tiredness or fatigue
Brazil,0.018574397,aches and muscles
Brazil,0.061739124,sore throat
Brazil,0.011056481,diarrhoea
Brazil,0.002290365,conjunctivitis
Brazil,0.031910119,headache
Brazil,0.0,loss of taste or smell
Brazil,0.031396718,a rash on skin or discolouration of fingers or toes
Brazil,0.004153886,difficulty breathing or shortness of breath
Brazil,0.187255607,chest pain or pressure
Brazil,0.015197379,loss of speech or movement
Argentina,0.299814703,fever
Argentina,0.190017227,dry cough
Argentina,0.072054014,tiredness or fatigue
Argentina,0.081089694,aches and muscles
Argentina,0.032041422,sore throat
Argentina,0.003613029,diarrhoea
Argentina,0.000812729,conjunctivitis
Argentina,0.023479072,headache
Argentina,0.0,loss of taste or smell
Argentina,0.0035933,a rash on skin or discolouration of fingers or toes
Argentina,0.0,difficulty breathing or shortness of breath
Argentina,0.138673689,chest pain or pressure
Argentina,0.000964968,loss of speech or movement
Venezuela,0.242980478,fever
Venezuela,0.20489915,dry cough
Venezuela,0.023512441,tiredness or fatigue
Venezuela,0.023161456,aches and muscles
Venezuela,0.046017898,sore throat
Venezuela,0.00000438,diarrhoea
Venezuela,0.001362483,conjunctivitis
Venezuela,0.019149429,headache
Venezuela,0.0,loss of taste or smell
Venezuela,0.033638783,a rash on skin or discolouration of fingers or toes
Venezuela,0.003535504,difficulty breathing or shortness of breath
Venezuela,0.320776326,chest pain or pressure
Venezuela,0.004038592,loss of speech or movement
Philippines,0.369595335,fever
Philippines,0.348384442,dry cough
Philippines,0.018715068,tiredness or fatigue
Philippines,0.009711171,aches and muscles
Philippines,0.085991673,sore throat
Philippines,0.0008748,diarrhoea
Philippines,0.000236022,conjunctivitis
Philippines,0.021010925,headache
Philippines,0.0,loss of taste or smell
Philippines,0.004359271,a rash on skin or discolouration of fingers or toes
Philippines,0.001528376,difficulty breathing or shortness of breath
Philippines,0.058453399,chest pain or pressure
Philippines,0.004216441,loss of speech or movement
Vatican,0.18180671,fever
Vatican,0.185376927,dry cough
Vatican,0.00025372,tiredness or fatigue
Vatican,0.0,aches and muscles
Vatican,0.062428623,sore throat
Vatican,0.0,diarrhoea
Vatican,0.0,conjunctivitis
Vatican,0.0,headache
Vatican,0.0,loss of taste or smell
Vatican,0.001837857,a rash on skin or discolouration of fingers or toes
Vatican,0.002139,difficulty breathing or shortness of breath
